,country,description,designation,points,price,province,region_1,region_2,variety,winery,Red?,Wine_Bins
242,France,"Pale pink in color, this is stylish rosé. It has the intense acidity of the 1996 vintage, meaning that it still tastes young, crisp, vibrant. The only suggestion that this is 14 years old is in the slight toastiness. But it should go on for many more years.",Dom Ruinart Brut Rosé,93,295.0,Champagne,Champagne,Champagne,Champagne Blend,Ruinart,False,Iconic: Over $50
243,France,"Big, ripe and fruity, it combines a rich character along with the firmest tannins and dense structure. Acidity adds a touch of freshness, while the structure and full fruit are concentrated and still young. Give this solid, dark wine at least until 2020.",*Unknown Wine*,94,294.0,Burgundy,Mazis-Chambertin,Mazis-Chambertin,Pinot Noir,Domaine Faiveley,True,Iconic: Over $50
244,Italy,"It's safe to say that Gianfranco Soldera's style is only appreciated and understood by Brunello purists. The wines are as thorny and complex as the argumentative, cantankerous man who makes them. For one, this wine has big volatility but the magic here is that those pungent direct aromas translate into bright aromatic vibrancy and buoyancy. In fact, its intensity and the careful balance between acidity and structure is unmatched.",Case Basse,92,293.0,Tuscany,Brunello di Montalcino,Brunello di Montalcino,Sangiovese,Soldera,True,Iconic: Over $50
245,Germany,"Sweet and viscous, this ratchets up the level of sugar and concentration beyond that of Weil's 2009 auslesen. Dried apricots rule, but nuances of musky spice and candied pineapple play supporting roles. Unctuous enough to pair with dessert if need be, but better on its own, or perhaps with aged hard cheeses.",Kiedrich Gräfenberg Beerenauslese,95,292.0,Rheingau,Rheingau,Rheingau,Riesling,Robert Weil,False,Iconic: Over $50
249,France,"Rich, yet always elegant, this has a raspberry flavor and terrific acidity that creates tension, contrasting with the opulent fruit. While it's structured, it will soften and round out over the next five years.",*Unknown Wine*,95,290.0,Burgundy,Mazis-Chambertin,Mazis-Chambertin,Pinot Noir,Domaine Faiveley,True,Iconic: Over $50
250,Portugal,"This is a blend of five Colheita vintages, the oldest 1981, the youngest 1992. It has many of the characters of a single vintage Colheita with one exception: it is fresher, retaining a surprising and impressive amount of fruit. The wood aging has left the wine rich and spicy with just a hint of dryness. Drink this wine now.",Very Old Tawny Special Edition,93,290.0,Port,Port,Port,Port,Barros,True,Iconic: Over $50
251,US,"From the estate, in the Pritchard Hill area of St. Helena which is worthy of its own appellation, comes this densely structured, impressive but young wine. It's massive in fruity extract and new oak, flooding the mouth with soft, ultrarich flavors of blackberries and dark chocolate and a leathery, peppery, grilled meat quality. This is the kind of wine even a non-red wine drinker will be dazzled by, and connoisseurs will appreciate its power and finesse. Ready now for sheer opulence, and should develop through 2012, at least.",IX Estate,94,290.0,California,Napa Valley,Napa,Red Blend,Colgin,True,Iconic: Over $50
248,US,"This is an absolutely beautiful wine to drink now, but the richness comes at the price of considerable alcohol. The color is dark and impenetrable, the aromas huge in Cabernet-inspired blackberries and black currants, with a touch of something herbal and also a stony minerality. There's also a fascinating peatiness, like an Islay Scotch. It really opens up in the glass, becoming ever more complex. It's great Napa Valley Cabernet Sauvignon, but that high alcohol may limit its ageability.",IX Estate,99,290.0,California,Napa Valley,Napa,Red Blend,Colgin,True,Iconic: Over $50
246,France,"A gloriously rich rosé that is full of ripe raspberries that burst in the mouth. It has a tight texture, balanced by a rounded feel. It is still young, of course, and the sweet finish needs time to integrate. Even so, relish the wine now, or wait 3–4 years.",Comtes de Champagne Rosé Brut,93,290.0,Champagne,Champagne,Champagne,Champagne Blend,Taittinger,False,Iconic: Over $50
247,France,"Coming from a seven-acre vineyard named after the dovecote on the property, this is a magnificent wine. Powered by both fruit tannins and the 28 months of new wood aging, it is darkly rich and with great concentration. As a sign of its pedigree, there is also elegance here, a restraint which is new to this wine. That makes it a wine for long-term aging. Drink from 2022.",Le Pigeonnier,95,290.0,Southwest France,Cahors,Cahors,Malbec,Château Lagrézette,True,Iconic: Over $50
252,France,"This is an exceptional wine, as is the vintage. The fruits—grapefruit, crisp red apple—balance with a fine yeasty character. There is a great depth of flavor, the fruits going in a pure line of freshness. The one problem is that it is much too young, the result of the demand from the market for the next vintage. Age this wine for at least four years.",Cristal Brut,98,289.0,Champagne,Champagne,Champagne,Champagne Blend,Louis Roederer,False,Iconic: Over $50
253,France,"Packed with tannins and boasting an enormous structure, this wine is opulent while very firm. At the same time, smoky acidity shoots through all this density. From a great terroir, this wine shows minerality and its great structure well. Drink from 2023.",*Unknown Wine*,97,288.0,Burgundy,Chapelle-Chambertin,Chapelle-Chambertin,Pinot Noir,Louis Jadot,True,Iconic: Over $50
254,France,"Dark and structured, powered by smoky tannins and plum skin texture. The wine is just beginning, its weight an indication of good aging potential. It is firm and dense, the acidity providing an attractive final freshness.",*Unknown Wine*,94,285.0,Burgundy,Grands-Echezeaux,Grands-Echezeaux,Pinot Noir,Joseph Drouhin,True,Iconic: Over $50
255,France,"A big, powerful wine that brings together dark tannins and dense fruit. The fruit flavors are ripe black plum buried within the concentrated dryness of the tannin. No question, this needs aging for all its burly potential to be realized.",*Unknown Wine*,94,285.0,Burgundy,Grands-Echezeaux,Grands-Echezeaux,Pinot Noir,Joseph Drouhin,True,Iconic: Over $50
256,Germany,"Insanely priced, but if you love ultrasticky dessert wines, this is one you'll want to try at least once. Shows the merest hint of volatility on the nose, but also striking floral and mineral components. Broad and viscous on the palate, with intensely honeyed flavors of dried apricots and orange marmalade that last a long, long time. Should age virtually forever.",Rauenthaler Nonnenberg Riesling Trockenbeerenauslese,94,283.0,Rheingau,Rheingau,Rheingau,Riesling,Georg Breuer,False,Iconic: Over $50
257,France,"Ripe and full-bodied, this immense wine has rich layers of tropical fruits. The wine, like so often in Corton-Charlemagne, is a powerful, huge expression of Chardonnay. It does have balance from acidity. Drink from 2018.",*Unknown Wine*,93,282.0,Burgundy,Corton-Charlemagne,Corton-Charlemagne,Chardonnay,Domaine Faiveley,False,Iconic: Over $50
258,France,"This is a big, dense wine that has great generosity. It's ripe, full bodied and opulent now, and it offers concentration and depth of flavor. The fruit used to make this wine was sourced from 60-year-old vines located near Clos de Tart. It has considerable aging potential, so cellar this for 8–10 years.",*Unknown Wine*,97,281.0,Burgundy,Bonnes-Mares,Bonnes-Mares,Pinot Noir,Domaine Bruno Clair,True,Iconic: Over $50
259,France,"This offers a firm, dense structure, with dark tannins and big, ripe, opulent fruits. At the same time the elegance that is the hallmark of the domaine is equally present with stylish red fruits and a velvet texture. The wine needs to age to be at its peak, although it is beautiful now. Drink from 2020.",*Unknown Wine*,96,281.0,Burgundy,Clos de Vougeot,Clos de Vougeot,Pinot Noir,Domaine Jean Grivot,True,Iconic: Over $50
265,France,93 Veuve Clicquot 1985 Brut (Champagne); $tk/1.5 L.,Brut,93,280.0,Champagne,Champagne,Champagne,Champagne Blend,Veuve Clicquot Ponsardin,False,Iconic: Over $50
268,France,"Rich and sweetly fruity, this wine wields intense power. Red fruits are initially opulent and pleasurable, but then the wine begins to show solid structure and concentration. The final texture, with its tannins and fruit in harmony, is impressive. Drink from 2018.",Cuvée Héritiers Latour,93,280.0,Burgundy,Chambertin,Chambertin,Pinot Noir,Louis Latour,True,Iconic: Over $50
267,Chile,"Initially this smells reductive and like horseradish, although with airing it moves on to aromas of pepper and berry. Citrusy acidity gives zest to what is otherwise a creamy-feeling red. Flavors of cassis, berry and brown sugar lead to a long, baked-tasting finish.",Viñedo Chadwick,89,280.0,Maipo Valley,Maipo Valley,Maipo Valley,Cabernet Sauvignon,Errazuriz,True,Iconic: Over $50
266,France,"Rich and ample, this is an impressive wine. The fruit and wood flavors work together to give a feeling of seriousness and great ageability. With its spice, toast notes and dark-hued structure, this will age well over the next five to 10 years.",*Unknown Wine*,94,280.0,Burgundy,Bâtard-Montrachet,Bâtard-Montrachet,Chardonnay,Louis Latour,False,Iconic: Over $50
263,France,"The wine has the right weight and power. It comes from a blend of different parcels, bringing out the complexity of the vineyards. Black fruits are soft and generous, supported by tannins as well as licorice and wood flavors. At the end, fresher red fruits show.",*Unknown Wine*,93,280.0,Burgundy,Clos de Vougeot,Clos de Vougeot,Pinot Noir,Louis Latour,True,Iconic: Over $50
264,France,"With its fine tannic structure, plum juice sweetness and beautifully ripe fruits, this is a wine that combines structure with a rich velvet coat. The acidity gives a fine lift, bringing out strawberries and a final piercing freshness.",Les Amoureuses Premier Cru,94,280.0,Burgundy,Chambolle-Musigny,Chambolle-Musigny,Pinot Noir,Joseph Drouhin,True,Iconic: Over $50
262,France,"Austere and mineral initially, this is a complex wine, showing Asian spices as well as dark plum and berry fruits. It is layered with powerful tannins, which give the wine almost as much structure as fruit. A powerhouse that will age well.",Les Millandes Premier Cru,92,280.0,Burgundy,Morey-Saint-Denis,Morey-Saint-Denis,Pinot Noir,Sérafin Père et Fils,True,Iconic: Over $50
261,France,"This firm, tannic wine is made from fruit sourced from a vineyard in the heart of Morey-Saint-Denis. It's a solid selection, and it has enormous potential. The ripe black-cherry and plum flavors are dominated by the tannins. Concentrated, this is ready for long-term aging.",*Unknown Wine*,96,280.0,Burgundy,Clos Saint-Denis,Clos Saint-Denis,Pinot Noir,Louis Jadot,True,Iconic: Over $50
260,France,"A ripe year like 2009 is kind to the Cabernet Sauvignon of Château Figeac. The wine is perfumed with new wood and sweet fruits, delicious black currant flavors giving both ripeness and freshness. The wine has weight and impressive density. A star of the vintage.",*Unknown Wine*,96,280.0,Bordeaux,Saint-Émilion,Saint-Émilion,Bordeaux-style Red Blend,Château Figeac,True,Iconic: Over $50
269,Germany,"Very honeyed and sweet, with bold flavors of apricot and mango that seem almost caramelized in their sugary intensity. Drink now and over the next few years.",Casteller Schlossberg Trockenbeerenauslese,90,279.0,Franken,Franken,Franken,Silvaner,Castell,False,Iconic: Over $50
270,France,"Foursquare, almost chunky, the tannins dominate black fruits, dark chocolate and spice flavors. There is considerable concentration here, along with initial high acidity. Straight from bottling, the fruit is subdued. The weight of the wine, though, confirms that this is going to be a powerhouse.",*Unknown Wine*,93,279.0,Burgundy,Echézeaux,Echézeaux,Pinot Noir,Louis Latour,True,Iconic: Over $50
284,US,"Lots of fresh herbs and spices in this beautiful red wine. Offers loads of red and black currants and chocolate, with a fine application of cedar and cigar box from oak. Very fine, enormously likeable. Drink now through 2015.",Melbury,95,275.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,BOND,True,Iconic: Over $50
283,Italy,"D'Alceo is a drop dead gorgeous wine that oozes intensity, blackness, fruitiness, exotic spice and smoke. In the mouth, this beautifully executed super Tuscan is about as rich, smooth and opulent as they come. You'll love the lingering notes of mature berry, chocolate and espresso that drive the long, smooth finish.",D'Alceo,96,275.0,Tuscany,Toscana,Toscana,Red Blend,Castello dei Rampolla,True,Iconic: Over $50
282,France,"Even at 10 years, this is still just setting out. While it doesn't have the immensity of the 1996, it has a great intense grapefruit, pear and fresh apricot series of flavors that come through with toast, ripeness and a suggestion of almonds. 7–8 years aging.",Cuvée Sir Winston Churchill Brut,97,275.0,Champagne,Champagne,Champagne,Champagne Blend,Pol Roger,False,Iconic: Over $50
278,Italy,"This beautiful riserva shows enormous thickness and blackness, like midnight of a new moon. The wine delivers impenetrable density, extraction, black fruit, spice, berry preserves, licorice, asphalt, ground black pepper, cherry liqueur and crème de cassis. There are seemingly no limits to the intensity and complexity here. The mouthfeel is dense, plush, firmly structured and very long. Keep this Brunello safely in your cellar 20 years or more.",Madonna del Piano Riserva,98,275.0,Tuscany,Brunello di Montalcino,Brunello di Montalcino,Sangiovese Grosso,Valdicava,True,Iconic: Over $50
280,US,"Very dark, dramatic, opulent, but young. Opens with brooding aromas of black currants, cassis and spices, and turns dense in tannins in the mouth. Deeply refined, concentrated, intense, bone dry. A classic Napa wine in every sense, and one in need of extended cellaring. 2012–2018. The release date is Spring 2010.",Pluribus,94,275.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,BOND,True,Iconic: Over $50
279,US,"Very refined, with lovely perfume. Heady, showing currants, cassis, cedar, chocolate-covered cherries and sweet herbs. Decadent, classy, elegant, with a great tannin structure. Just oozes class.",Vecina,97,275.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,BOND,True,Iconic: Over $50
281,Italy,"This wine is at the top of its class in a new generation of super Tuscan producers. Plush and velvety, it opens with rich aromas of chocolate, cherry, peppercorn, black fruit and cola. Thick extraction sets the tone for a lush wine that requires a few more years in the bottle: Drink after 2012.",Redigaffi,95,275.0,Tuscany,Toscana,Toscana,Merlot,Tua Rita,True,Iconic: Over $50
277,US,"Very polished and pure, if a bit direct and obvious in appeal. A beautiful wine, with pure flavors of currants and cedar. Drinkable now, and should hold through the decade.",Pluribus,91,275.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,BOND,True,Iconic: Over $50
275,US,"Polished, smooth and elegant. Made in a feminine style that appeals for its lushness and accessible flavors of blackberries, cocoa, violets and cedar. Shows a pure pedigree in the balance and charm. The tannins suggest mid-term aging. Best after 2012.",Vecina,92,275.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,BOND,True,Iconic: Over $50
274,US,"A bit overripe and raisiny-pruny despite some rich blackberry flavors, with hard, drying tannins and some bitterness. Doesn't show the lushness and appeal of the other Bonds. Could surprise down the road, but it's just average now.",Quella,86,275.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,BOND,True,Iconic: Over $50
273,France,"From the legendary 1996 vintage, this is a bottling that only received its dosage in 2012. It is very dry, intensely crisp and packed with acidity and minerality. Still young and fruity, it's an impressive wine that will certainly improve with age. Drink through 2022.",Vinothèque Premier Cru Brut,92,275.0,Champagne,Champagne,Champagne,Champagne Blend,J. Dumangin Fils,False,Iconic: Over $50
272,US,"A magnificent wine for its lush opulence and dramatic structure. Shows concentrated flavors of red and black sour cherry candy, red currants, coffee, dried herbs, anise and sandalwood, wrapped into gorgeously soft, refined tannins. Very fine and complex, and will age well. 2012–2018.",St. Eden,94,275.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,BOND,True,Iconic: Over $50
271,US,"Smells young and juvenile, a bit raw. Shows briary aromas of wild berries, thyme, cherries and mocha. A chewy wine, tannic and spicy. Hard now, a bit austere, but beautifully structured, with a thick, currant-infused taste. Needs time.",St. Eden,94,275.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,BOND,True,Iconic: Over $50
276,US,"Starts with a beautiful ruby color that's so pretty and gleaming. Appeals right away for its rich, attractive sour cherry candy, vanilla and anise aromas and flavors that are well-integrated with smoky oak. The tannins are firm, but ultra-refined, and the finish is entirely dry. A well-made, elegant wine of place that needs time. 2012–2018.",Melbury,93,275.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,BOND,True,Iconic: Over $50
285,Spain,"Char and chocolate, then a dollop of rum raisin and black cherry, and there is your nose. This version of Cirsion, one of our very favorite modern Riojas, is relatively soft, raisiny and simple, and for that it doesn't quite rate with some of the past vintages, which were spectacular. But that doesn't mean you won't love the wine's smooth texture, cocoa and baked berry flavors, and its overall generous character. Drink now through 2010.",Cirsion,92,273.0,Northern Spain,Rioja,Rioja,Tempranillo,Bodegas Roda,True,Iconic: Over $50
286,France,"A rich, mouthfilling,  sophisticated wine. The secret is in the balance, with the concentrated fruit flavors—dried apricot, mango and lemon—in just the right proportion. It tastes delicious now, but will certainly age over five years or more.",Les Pucelles Premier Cru,94,273.0,Burgundy,Puligny-Montrachet,Puligny-Montrachet,Chardonnay,Domaine Leflaive,False,Iconic: Over $50
287,Germany,"A wonderfully drinkable beerenauslese, which makes it a serious accomplishment—sometimes these wines can just be too much. This one balances its intense dried apricot and golden raisin notes with tropical and citrus fruit and lively acidity.",Hochheimer Domdechaney Beerenauslese,96,271.0,Rheingau,Rheingau,Rheingau,Riesling,Domdechant Werner,False,Iconic: Over $50
290,France,"Initially, this seems soft, big but gentle. Only slowly do the tannins come through, and even then they are only part of the supremely rich wine. It has concentration followed by chunky fruits, finished with almost jammy sweetness. Obviously appealing now, those tannins will see it age well.",*Unknown Wine*,93,270.0,Burgundy,Griotte-Chambertin,Griotte-Chambertin,Pinot Noir,Joseph Drouhin,True,Iconic: Over $50
291,France,"Although 2006 won't go down as a great vintage in the northern Rhône, Chapoutier's selections parcellaires are still top notch. Le Méal gets the nod this year as the most powerful of the group, with massive espresso and black olive elements tinged with meat and underlain by a bed of ripe blueberries. Long and mouthwatering on the finish, look for this wine to approach maturity by 2016; drink well through 2025 or longer.",Le Méal Ermitage,95,270.0,Rhône Valley,Hermitage,Hermitage,Syrah,M. Chapoutier,True,Iconic: Over $50
289,France,"This bears a ripe, fruity character as well as enormous structure and power. It offers a black plum flavor, a dense texture and concentration. The firm, dry tannins and the hint of wood aging promise that this has a  long future.",*Unknown Wine*,93,270.0,Burgundy,Chambertin,Chambertin,Pinot Noir,Maison Jessiaume,True,Iconic: Over $50
288,France,"Densely rich, very sweet wine. It has some smoky tannins that give structure, along with a dark core of dry raisin and wood flavors. It has concentration and an opaque texture.",*Unknown Wine*,93,270.0,Bordeaux,Pomerol,Pomerol,Bordeaux-style Red Blend,Château La Conseillante,True,Iconic: Over $50
292,France,"This has a toasty edge that complements the ripe red fruit and attractive lemon and yeast character. It seems to be well on its way to maturity, retaining a fruity style while its flavors are beginning to dig deeper.",La Grande Dame Brut Rosé,93,269.0,Champagne,Champagne,Champagne,Champagne Blend,Veuve Clicquot Ponsardin,False,Iconic: Over $50
293,France,"The ultimate in SGN wines, because it not only has richness, sweetness, and botrytis, but it also offers acidity, balance and total seduction. There are flavors of peaches and mirabelles, but they are really all submerged in the amazing elegance of a wine that will age indefinitely.",Grand Cru Clos Saint-Urbain Rangen de ThannSéléction des Grains Nobles,97,269.0,Alsace,Alsace,Alsace,Pinot Gris,Domaine Zind-Humbrecht,False,Iconic: Over $50
294,Italy,"Gaja's Sperss was once a Barolo but now occupies a category all its own as a Nebbiolo from the Langhe region—the producer famously declassified his top wines. This shows extreme elegance and sophistication with fine nuances of forest fruit, spice, dried tobacco, licorice and Spanish cedar. The finish is long, polished and bright. Drink after 2020.",Sperss,95,268.0,Piedmont,Langhe,Langhe,Nebbiolo,Gaja,True,Iconic: Over $50
295,France,"This is heavy on the wood, but it's so rich in fruit as well. An immensely concentrated wine that's powered by its dark tannins and flavors of ripe blackberry, loganberry juice and spice. The acidity is straight as an arrow, giving the wine good lift.",*Unknown Wine*,94,266.0,Burgundy,Chambertin,Chambertin,Pinot Noir,Maison Jessiaume,True,Iconic: Over $50
296,France,"A smooth, superripe wine, full of the sweetest fruit, big and rich. It is opulent, a powerhouse of dense Merlot fruits, rounded out with soft tannins.",*Unknown Wine*,92,265.0,Bordeaux,Pomerol,Pomerol,Bordeaux-style Red Blend,Château Clinet,True,Iconic: Over $50
297,France,"Smoky, new-wood aromas and flavors cloak the black berry fruit in this wine. It has a hard edge at the moment, like concentrated wood juice. But there is fruit there, so give the wine two years and those powerful, brooding fruits will come through.",Vieilles Vignes,89,261.0,Burgundy,Gevrey-Chambertin,Gevrey-Chambertin,Pinot Noir,Sérafin Père et Fils,True,Iconic: Over $50
306,France,"A fine, elegant wine, with balanced toast and acidity, great ripe apricot flavors along with spice from the toast, acidity, citrus and a hint of ginger. Still very young, this pure fruited wine could age over 6–10 years.",Les Pucelles Premier Cru,95,260.0,Burgundy,Puligny-Montrachet,Puligny-Montrachet,Chardonnay,Domaine Leflaive,False,Iconic: Over $50
311,France,"Big, firm and dense, this is a powerful wine, with dark tannins that give a dry, concentrated character. The juicy plum and damson fruit flavors, along with the fresh aftertaste, will be a delicious balance as the wine develops. Drink from 2020.",*Unknown Wine*,93,260.0,Burgundy,Clos de Vougeot,Clos de Vougeot,Pinot Noir,Jean-Luc and Paul Aegerter,True,Iconic: Over $50
310,Chile,"Chile's most expensive wine is excellent, and with only 50 cases being imported it's definitely a collector's edition. The nose is deep, dense and black as night, with olive, tobacco, coconut and bold black fruit aromas. The palate is racy and tannic, and the flavors of plum, cassis, blackberry, chocolate, prune and fig are elevated. A tough and ribald wine that will be at its best from 2012–2015.",Viñedo Chadwick,92,260.0,Maipo Valley,Maipo Valley,Maipo Valley,Cabernet Sauvignon,Errazuriz,True,Iconic: Over $50
309,France,"A powerful wine, showing rich, opulent Chardonnay. The spice and acidity crispen the wine, but leave the powerful fruit in all its glory.",Les Pucelles Premier Cru,96,260.0,Burgundy,Puligny-Montrachet,Puligny-Montrachet,Chardonnay,Domaine Leflaive,False,Iconic: Over $50
308,France,"Benefiting from the great quality of Cabernet Franc in 2006, this is a beautiful wine, perfumed and seductive. The fruit tannins are so well integrated with wood that they are only just dominant. Ripe, opulent but also firmly structured, this will age magnificently over five years or more.",*Unknown Wine*,93,260.0,Bordeaux,Saint-Émilion,Saint-Émilion,Bordeaux-style Red Blend,Le Dôme,True,Iconic: Over $50
307,France,"Solid and powerful, with a very firm character, this shows the structured, concentrated side of the vineyard, with complex acidity cutting through the dark tannins. The wine is condensed and solidly based around a firm, dry core.",*Unknown Wine*,92,260.0,Burgundy,Clos de Vougeot,Clos de Vougeot,Pinot Noir,Louis Latour,True,Iconic: Over $50
305,France,"This rich wine balances ripe yellow fruits with intense citrus acidity in a harmonious whole. Its structure is laden with minerality, toast and a smooth, delicious creamy aftertaste.",Les Pucelles Premier Cru,94,260.0,Burgundy,Puligny-Montrachet,Puligny-Montrachet,Chardonnay,Domaine Leflaive,False,Iconic: Over $50
298,France,"Disgorged in 2009, this is a toasty wine, rich and concentrated. The idea of long aging before disgorging the yeast cells is to build up the unique complexity of the wine. In this Bollinger has succeeded magnificently. An opulent wine, with aging potential for 10 years or more.",RD Brut Champagne,97,260.0,Champagne,Champagne,Champagne,Champagne Blend,Bollinger,False,Iconic: Over $50
303,France,"Balancing sweet wood and mineral-driven citrus character, this is elegant and stylish, showing peach and grapefruit flavors. The wood, so fine, acts as balance and support. Age for 5–6 years.",*Unknown Wine*,92,260.0,Burgundy,Puligny-Montrachet,Puligny-Montrachet,Chardonnay,Domaine Leflaive,False,Iconic: Over $50
302,France,"For white Hermitage, this is tight and minerally, with more structure than Chapoutier's other microcuvées and possibly more aging potential. There's a bit of truffle on the nose, but it's not so exotic as the De L'Orée, nor so rich and fat as Le Méal. Finishes with tremendous length and minerality.",L'Ermite,95,260.0,Rhône Valley,Hermitage,Hermitage,Marsanne,M. Chapoutier,False,Iconic: Over $50
301,US,"Lots going on in this mountain-grown wine. It's perfectly dry and strong in tannins, with an elusive quality of excellence that testifies to the best terroir. Showing blackberry, black cherry, mineral and oak flavors, it should develop bottle complexity for at least the next decade.",La Muse,94,260.0,California,Sonoma County,Sonoma,Bordeaux-style Red Blend,Verité,True,Iconic: Over $50
300,France,"Concentrated, dense and powerful, this has all the structure of a Chambertin. As a contrast, the juicy acidity cuts through the texture, luring out black fruits that balance the solid core of tannins. It needs to age for at least seven years.",*Unknown Wine*,92,260.0,Burgundy,Chambertin,Chambertin,Pinot Noir,Louis Latour,True,Iconic: Over $50
299,France,"The nose demonstrates that this is obviously a wood-aged wine. The palate has a huge, dense structure, and the wood-derived tannins are buried within its powerful fruit and acidity. For those prepared to wait for 7–8 years, this has the potential to become rich and opulant.",*Unknown Wine*,97,260.0,Burgundy,Chapelle-Chambertin,Chapelle-Chambertin,Pinot Noir,Louis Jadot,True,Iconic: Over $50
304,France,"This wine is dominated by new wood, which goes right through the big, dark fruit flavors and tannins. Very ripe cassis flavors are under this wood, waiting likely for many years before the wood flavors subside. This is very much in the modern, polished style of Mouton today, made even more pronounced by the heat of  the 2003 vintage. Imported by Diageo Chateau & Estates.",*Unknown Wine*,94,260.0,Bordeaux,Pauillac,Pauillac,Bordeaux-style Red Blend,Château Mouton Rothschild,True,Iconic: Over $50
312,France,"Still very young, this is showing the proper staying power of a powerful wine. The structure is complex and dense, the plum and cranberry fruits are wrapped in tannins and hints of wood. The wine powers through the palate, promising long-term aging. A great success for the vintage.",*Unknown Wine*,95,259.0,Burgundy,Chambertin Clos de Bèze,Chambertin Clos de Bèze,Pinot Noir,Bouchard Père & Fils,True,Iconic: Over $50
313,France,"Jayer-Gilles has vines on the lower slopes of the Echézeaux vineyard, hence the subtitle of the wine, “du Dessous.” The wine has finesse, but with structure, and is impressively powered with tannins (although with a nagging green bean character as it opens up), spice, a definite amount of toast as well as freshly acid red fruits.",Echézeaux du Dessous,93,259.0,Burgundy,Echézeaux,Echézeaux,Pinot Noir,Domaine Jayer-Gilles,True,Iconic: Over $50
314,Spain,"This gorgeous dessert wine shows a coffee-colored tint that's backed by lush, deep aromas of fig, caramel, toffee and prune. The palate shows weight but a refined mouthfeel that's not sticky or heavy. Flavors of coffee, mocha, chocolate, caramel, peanut brittle and prune finish warm and long. Only 43 cases made.",Don PX Reserva Especial,93,258.0,Andalucia,Montilla-Moriles,Montilla-Moriles,Pedro Ximénez,"Bodegas Toro Albala, SL",False,Iconic: Over $50
315,France,"A firmly structured wine, packed with fruit, acidity and complex tannins. It is powerful, dark and rich with great weight to balance the dry, smoky character from wood aging. It's impressive, concentrated with a touch of licorice and spice that  cuts through the acidity. Drink from 2020.",*Unknown Wine*,94,257.0,Burgundy,Latricières-Chambertin,Latricières-Chambertin,Pinot Noir,Domaine Faiveley,True,Iconic: Over $50
317,France,"A big, bold wine, its fruits etched richly against the ripe tannins and spice. The sweet fig and plum flavors are balanced well with the refreshing raspberry juice acidity. A fine, dark wine that will age for several years.",Les Cazetiers Premier Cru,93,256.0,Burgundy,Gevrey-Chambertin,Gevrey-Chambertin,Pinot Noir,Sérafin Père et Fils,True,Iconic: Over $50
316,France,"There is such elegance on this concentrated wine, combining richness with intense structure. A blend of yellow fruit, crisp apple and lemon zest flavors surface on this opulent, balanced and structured effort. This is meant for long-term aging.",*Unknown Wine*,95,256.0,Burgundy,Bienvenues Bâtard-Montrachet,Bienvenues Bâtard-Montrachet,Chardonnay,Domaine Vincent Girardin,False,Iconic: Over $50
318,France,"There is an explosion of ripe yellow fruit here, giving a ripe, tropical feel. Spice, mango, it's quite a powerhouse of flavors. This is a gorgeous, opulent wine.",*Unknown Wine*,93,255.0,Burgundy,Bâtard-Montrachet,Bâtard-Montrachet,Chardonnay,Louis Latour,False,Iconic: Over $50
320,Italy,"Gaja's answer to Barolo, Conteisa means “contested” in Piedmontese and refers to the historic feud between the towns of Barolo and La Morra for the shared Cerequio cru. This gorgeous wine is thick and dark with beautiful concentration and sophisticated notes of dark fruit, mineral and exotic spice. The wine is smooth and solid with firm tannins and structure. It will age for 20-plus years.",Conteisa,95,255.0,Piedmont,Langhe,Langhe,Nebbiolo,Gaja,True,Iconic: Over $50
321,Italy,Sperss (the name is inspired by the local word for “nostalgia”) is a vineyard located in the Barolo territory of Serralunga. Angelo Gaja adds 6% Barbera to the wine for brightness and freshness but the overall ensemble shows so much more than that. It delivers sophisticated softness and a velvety texture that is backed by exotic spice and loads of wild berry and licorice. Add huge depth and intensity and you have the criteria for a cellar-worthy wine. Will be ready to drink after 2020.,Sperss,98,255.0,Piedmont,Langhe,Langhe,Nebbiolo,Gaja,True,Iconic: Over $50
322,Italy,"Sperss is a vineyard located in the Serralunga area (Nebbiolo with 6% Barbera) that delivers pristine aromas of wild berry, anise, sweet spice, licorice and Spanish cedar. Oak-driven notes of vanilla and leather softly shade the background and fuel a soft, supple mouthfeel. The wine is generous, polished, well integrated and will drink beautifully for decades to come.",Sperss,94,255.0,Piedmont,Langhe,Langhe,Nebbiolo,Gaja,True,Iconic: Over $50
319,Italy,"Gaja's latest Barbaresco shows deep aromatic layers of ripe fruit, leather, black licorice, dried herb and savory tobacco. It is extremely velvety and smooth, with firm tannins and a richly extracted fruit finish.",*Unknown Wine*,93,255.0,Piedmont,Barbaresco,Barbaresco,Nebbiolo,Gaja,True,Iconic: Over $50
323,France,"Mineral and structured, this is a wine that is very linear and almost austere. There is elegance, fruit and wood along with a hint of ripe plums and peaches. But always that minerality, that steely character, which promise long aging.",*Unknown Wine*,95,253.0,Burgundy,Chevalier-Montrachet,Chevalier-Montrachet,Chardonnay,Etienne Sauzet,False,Iconic: Over $50
